timestamp, utilization.gpu [%], utilization.memory [%]
2017/07/31 05:39:20.806, 0, 0
2017/07/31 05:39:21.807, 99, 42
2017/07/31 05:39:22.807, 0, 0
2017/07/31 05:39:23.807, 0, 0
2017/07/31 05:39:24.807, 0, 0
2017/07/31 05:39:25.807, 86, 23
2017/07/31 05:39:26.808, 0, 0
2017/07/31 05:39:27.808, 0, 0
2017/07/31 05:39:28.809, 0, 0
2017/07/31 05:39:29.809, 0, 0
2017/07/31 05:39:30.809, 99, 47
2017/07/31 05:39:31.809, 0, 0
2017/07/31 05:39:32.809, 0, 0
2017/07/31 05:39:33.810, 0, 0
2017/07/31 05:39:34.810, 99, 49
2017/07/31 05:39:35.810, 0, 0
2017/07/31 05:39:36.810, 0, 0
2017/07/31 05:39:37.810, 0, 0
2017/07/31 05:39:38.811, 0, 0
2017/07/31 05:39:39.811, 99, 44
2017/07/31 05:39:40.811, 0, 0
2017/07/31 05:39:41.811, 0, 0
2017/07/31 05:39:42.811, 0, 0
2017/07/31 05:39:43.812, 97, 52
2017/07/31 05:39:44.812, 0, 0
2017/07/31 05:39:45.812, 0, 0
2017/07/31 05:39:46.812, 0, 0
2017/07/31 05:39:47.812, 0, 0
2017/07/31 05:39:48.813, 62, 28
2017/07/31 05:39:49.813, 0, 0
2017/07/31 05:39:50.813, 0, 0
2017/07/31 05:39:51.813, 0, 0
2017/07/31 05:39:52.813, 98, 44
2017/07/31 05:39:53.814, 0, 0
2017/07/31 05:39:54.814, 0, 0
2017/07/31 05:39:55.814, 0, 0
2017/07/31 05:39:56.814, 57, 1
2017/07/31 05:39:57.814, 0, 0
2017/07/31 05:39:58.815, 0, 0
2017/07/31 05:39:59.815, 0, 0
2017/07/31 05:40:00.815, 0, 0
2017/07/31 05:40:01.815, 99, 42
2017/07/31 05:40:02.815, 0, 0
2017/07/31 05:40:03.815, 0, 0
2017/07/31 05:40:04.816, 0, 0
2017/07/31 05:40:05.816, 0, 0
2017/07/31 05:40:06.816, 99, 44
2017/07/31 05:40:07.816, 0, 0
2017/07/31 05:40:08.817, 0, 0
2017/07/31 05:40:09.817, 0, 0
2017/07/31 05:40:10.817, 99, 51
2017/07/31 05:40:11.819, 0, 0
2017/07/31 05:40:12.819, 0, 0
2017/07/31 05:40:13.820, 0, 0
2017/07/31 05:40:14.820, 0, 0
2017/07/31 05:40:15.820, 12, 4
2017/07/31 05:40:16.820, 0, 0
2017/07/31 05:40:17.820, 0, 0
2017/07/31 05:40:18.821, 0, 0
2017/07/31 05:40:19.821, 99, 43
2017/07/31 05:40:20.821, 0, 0
2017/07/31 05:40:21.821, 0, 0
2017/07/31 05:40:22.821, 0, 0
2017/07/31 05:40:23.822, 99, 51
2017/07/31 05:40:24.822, 0, 0
2017/07/31 05:40:25.822, 0, 0
2017/07/31 05:40:26.822, 0, 0
2017/07/31 05:40:27.822, 0, 0
2017/07/31 05:40:28.822, 27, 12
2017/07/31 05:40:29.823, 0, 0
2017/07/31 05:40:30.823, 0, 0
2017/07/31 05:40:31.823, 0, 0
2017/07/31 05:40:32.823, 98, 44
2017/07/31 05:40:33.824, 0, 0
2017/07/31 05:40:34.824, 0, 0
2017/07/31 05:40:35.824, 0, 0
2017/07/31 05:40:36.824, 0, 0
2017/07/31 05:40:37.824, 99, 46
2017/07/31 05:40:38.825, 0, 0
2017/07/31 05:40:39.825, 0, 0
2017/07/31 05:40:40.825, 0, 0
2017/07/31 05:40:41.825, 99, 50
2017/07/31 05:40:42.825, 0, 0
2017/07/31 05:40:43.826, 0, 0
2017/07/31 05:40:44.826, 0, 0
